Datum,Uhrzeit,Status,Latenz (ms)
2025-03-31,08:10:28.809,OK (33ms),33
2025-03-31,08:10:29.342,OK (15ms),15
2025-03-31,08:10:29.856,OK (13ms),13
2025-03-31,08:10:30.369,OK (14ms),14
2025-03-31,08:10:30.881,OK (28ms),28
2025-03-31,08:10:31.409,OK (27ms),27
2025-03-31,08:10:31.935,OK (28ms),28
2025-03-31,08:10:32.463,OK (39ms),39
2025-03-31,08:10:33.000,OK (14ms),14
2025-03-31,08:10:33.513,OK (14ms),14
2025-03-31,08:10:34.026,OK (16ms),16
2025-03-31,08:10:34.541,OK (13ms),13
2025-03-31,08:10:35.052,OK (15ms),15
2025-03-31,08:10:35.567,OK (27ms),27
2025-03-31,08:10:36.093,OK (34ms),34
2025-03-31,08:10:36.626,OK (13ms),13
2025-03-31,08:10:37.138,OK (15ms),15
2025-03-31,08:10:37.652,OK (25ms),25
2025-03-31,08:10:38.177,OK (12ms),12
2025-03-31,08:10:38.688,OK (29ms),29
2025-03-31,08:10:39.217,OK (14ms),14
2025-03-31,08:10:39.730,OK (29ms),29
2025-03-31,08:10:40.258,OK (13ms),13
2025-03-31,08:10:40.770,OK (29ms),29
2025-03-31,08:10:41.298,OK (36ms),36
2025-03-31,08:10:41.834,OK (23ms),23
2025-03-31,08:10:42.357,OK (12ms),12
2025-03-31,08:10:42.888,OK (17ms),17
2025-03-31,08:10:43.405,OK (37ms),37
2025-03-31,08:10:43.941,OK (39ms),39
2025-03-31,08:10:44.479,OK (13ms),13
2025-03-31,08:10:44.991,OK (17ms),17
2025-03-31,08:10:45.508,OK (15ms),15
2025-03-31,08:10:46.022,OK (17ms),17
2025-03-31,08:10:46.538,OK (13ms),13
2025-03-31,08:10:47.050,OK (13ms),13
2025-03-31,08:10:47.562,OK (13ms),13
2025-03-31,08:10:48.074,OK (35ms),35
2025-03-31,08:10:48.608,OK (15ms),15
2025-03-31,08:10:49.123,OK (13ms),13
2025-03-31,08:10:49.634,OK (12ms),12
2025-03-31,08:10:50.146,OK (13ms),13
2025-03-31,08:10:50.658,OK (14ms),14
2025-03-31,08:10:51.172,OK (16ms),16
2025-03-31,08:10:51.687,OK (48ms),48
2025-03-31,08:10:52.234,OK (25ms),25
2025-03-31,08:10:52.759,OK (43ms),43
2025-03-31,08:10:53.301,OK (36ms),36
2025-03-31,08:10:53.836,OK (33ms),33
2025-03-31,08:10:54.368,OK (59ms),59
2025-03-31,08:10:54.926,OK (23ms),23
2025-03-31,08:10:55.448,OK (57ms),57
2025-03-31,08:10:56.004,OK (34ms),34
2025-03-31,08:10:56.538,OK (24ms),24
2025-03-31,08:10:57.061,OK (11ms),11
2025-03-31,08:10:57.571,OK (19ms),19
2025-03-31,08:10:58.089,OK (18ms),18
2025-03-31,08:10:58.606,OK (14ms),14
2025-03-31,08:10:59.120,OK (13ms),13
2025-03-31,08:10:59.632,OK (31ms),31
2025-03-31,08:11:00.162,OK (37ms),37
2025-03-31,08:11:00.698,OK (14ms),14
2025-03-31,08:11:01.211,OK (16ms),16
2025-03-31,08:11:01.725,OK (14ms),14
2025-03-31,08:11:02.238,OK (16ms),16
2025-03-31,08:11:02.752,OK (35ms),35
2025-03-31,08:11:03.287,OK (28ms),28
2025-03-31,08:11:03.814,OK (9ms),9
2025-03-31,08:11:04.322,OK (29ms),29
2025-03-31,08:11:04.851,OK (19ms),19
2025-03-31,08:11:05.369,OK (15ms),15
2025-03-31,08:11:05.883,OK (16ms),16
2025-03-31,08:11:06.398,OK (13ms),13
2025-03-31,08:11:06.911,OK (14ms),14
2025-03-31,08:11:07.424,OK (17ms),17
2025-03-31,08:11:07.940,OK (14ms),14
2025-03-31,08:11:08.452,OK (14ms),14
2025-03-31,08:11:08.965,OK (16ms),16
2025-03-31,08:11:09.480,OK (16ms),16
2025-03-31,08:11:09.995,OK (13ms),13
2025-03-31,08:11:10.508,OK (14ms),14
2025-03-31,08:11:11.021,OK (13ms),13
2025-03-31,08:11:11.534,OK (17ms),17
2025-03-31,08:11:12.050,OK (15ms),15
2025-03-31,08:11:12.564,OK (28ms),28
2025-03-31,08:11:13.091,OK (18ms),18
2025-03-31,08:11:13.609,OK (36ms),36
2025-03-31,08:11:14.144,OK (19ms),19
2025-03-31,08:11:14.663,OK (20ms),20
2025-03-31,08:11:15.182,OK (14ms),14
2025-03-31,08:11:15.695,OK (14ms),14
2025-03-31,08:11:16.209,OK (16ms),16
2025-03-31,08:11:16.724,OK (26ms),26
2025-03-31,08:11:17.249,OK (29ms),29
2025-03-31,08:11:17.777,OK (15ms),15
2025-03-31,08:11:18.291,OK (16ms),16
2025-03-31,08:11:18.806,OK (14ms),14
2025-03-31,08:11:19.319,OK (15ms),15
2025-03-31,08:11:19.833,OK (33ms),33
2025-03-31,08:11:20.365,OK (15ms),15
2025-03-31,08:11:20.879,OK (17ms),17
2025-03-31,08:11:21.396,OK (30ms),30
2025-03-31,08:11:21.925,OK (18ms),18
2025-03-31,08:11:22.442,OK (16ms),16
2025-03-31,08:11:22.957,OK (13ms),13
2025-03-31,08:11:23.469,OK (13ms),13
2025-03-31,08:11:23.982,OK (30ms),30
2025-03-31,08:11:24.511,OK (14ms),14
2025-03-31,08:11:25.024,OK (13ms),13
2025-03-31,08:11:25.537,OK (24ms),24
2025-03-31,08:11:26.061,OK (14ms),14
2025-03-31,08:11:26.574,OK (12ms),12
2025-03-31,08:11:27.085,OK (30ms),30
2025-03-31,08:11:27.615,OK (14ms),14
2025-03-31,08:11:28.128,OK (26ms),26
2025-03-31,08:11:28.654,OK (26ms),26
2025-03-31,08:11:29.180,OK (14ms),14
2025-03-31,08:11:29.693,OK (14ms),14
2025-03-31,08:11:30.206,OK (14ms),14
2025-03-31,08:11:30.719,OK (38ms),38
2025-03-31,08:11:31.256,OK (14ms),14
2025-03-31,08:11:31.770,OK (38ms),38
2025-03-31,08:11:32.307,OK (14ms),14
2025-03-31,08:11:32.821,OK (15ms),15
2025-03-31,08:11:33.335,OK (13ms),13
2025-03-31,08:11:33.847,OK (15ms),15
2025-03-31,08:11:34.360,OK (15ms),15
2025-03-31,08:11:34.874,OK (15ms),15
2025-03-31,08:11:35.388,OK (16ms),16
2025-03-31,08:11:35.903,OK (34ms),34
2025-03-31,08:11:36.435,OK (19ms),19
